Fund,Department,Division,Account,Amount,Annotation
General Fund,Information Technology Dept.,Technical Services Division,Supplies - Other,0.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Insurance & Bonds,68640.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Lic.& Prmts - Zoning Violation,0.0, 
General Fund,Public Works Department,Sanitation Division,Employer - LGERS,2296.2700000000004, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Natural Gas,0.0, 
General Fund,Public Works Department,Sanitation Division,FICA Tax Expense,2767.34, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Transfer to Gen Cap Proj Fund,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Sales Tax-Non Refundable,-123.46, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Class Participation Fees,246.39, 
General Fund,Building Safety Department,Permitting & Inspections Div,Services - Postage,427.8600000000001, 
General Fund,Public Works Department,Sanitation Division,Employer - 401(K),1779.6000000000004, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Mileage Reimbursement,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Supplies - Uniforms,1517.0, 
General Fund,Administration Services Dept,Fleet Management Division,Employer - LGERS,-153.5199999999968, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Full Time Reg,1964.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Uniforms,-4608.75, 
General Fund,Administration Services Dept,Fleet Management Division,FICA Tax Expense,-182.4800000000032, 
General Fund,Building Safety Department,Permitting & Inspections Div,Supplies - Other,-132.27999999999884, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Employer - 401(K),552.369999999999, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Overtime,200.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Supplies - Safety Equipment,1392.49, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Temp/Seasonal,741.2799999999997, 
General Fund,Building Safety Department,Permitting & Inspections Div,Supplies - Books/Audio Visual,-4214.68, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Part Time,769.74, 
General Fund,Finance Department,Finance Administration,Fines & Fees Prop Foreclosures,0.0, 
General Fund,Planning & Development Dept,Planning Services Division,Charges for Services,0.0, 
General Fund,Information Technology Dept.,Technical Services Division,Information Tech Purchases,-337909.18, 
Stormwater Fund,Public Works Department,CAFR Preparation,Gain/Loss on Disposal of CA,0.0, 
Stormwater Fund,Public Works Department,CAFR Preparation,Utility Charges,85160.37, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,FICA Tax Expense,646.0999999999999, 
General Fund,Public Works Department,Sanitation Division,Vehicle Allowance,2683.0, 
General Fund,Public Works Department,Sanitation Division,Group Insurance Expense,-38700.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Temp/Seasonal,3884.6399999999994, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Part Time,-3451.279999999999, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Overtime,-918.9799999999996, 
General Fund,Public Works Department,Sanitation Division,Maintenance and Repairs,94.9699999999998, 
General Fund,Public Works Department,Sanitation Division,Maint & Repair - Equipment,100.63000000000011, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Full Time Reg,2795.039999999979, 
General Fund,Public Works Department,Engineering Services Division,Compensation - Stand By Pay,365.22, 
General Fund,Public Works Department,Engineering Services Division,Compensation - Overtime,10979.86, 
General Fund,Information Technology Dept.,Technical Services Division,Rents - Tower Rental,126281.31, 
General Fund,Public Works Department,Engineering Services Division,Compensation - Temp/Seasonal,630.5, 
General Fund,Information Technology Dept.,IT Administration Division,Unemployment,0.0, 
General Fund,Information Technology Dept.,IT Administration Division,Vehicle Allowance,-2.2899999999999636, 
General Fund,Public Works Department,Engineering Services Division,Compensation - Full Time Reg,-2912.2700000000186, 
General Fund,Information Technology Dept.,IT Administration Division,Group Insurance Expense,-14334.0, 
General Fund,Planning & Development Dept,Historic Resources Division,Commissions,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Oth Loc Partic Group Applicat,0.0, 
General Fund,Information Technology Dept.,IT Administration Division,Workers Compensation,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Overages & Shortages,0.0, 
General Fund,Police Department,Police Administration Division,Reimbursement,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Mach & Equipment,-51343.6, 
General Fund,Information Technology Dept.,IT Administration Division,Employer - 401(K),5094.86, 
General Fund,Information Technology Dept.,IT Administration Division,Employer - LGERS,7.360000000000582, 
General Fund,Information Technology Dept.,IT Administration Division,FICA Tax Expense,-482.0499999999993, 
General Fund,Information Technology Dept.,Technical Services Division,Rents - Fiber Franchise,-0.07999999999992724, 
General Fund,Planning & Development Dept,Community Development Division,Fines & Fees Noise Ordinance,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Fines & Fees Zoning Citations,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Fines & Fees Sign Citations,0.0, 
General Fund,Administration Services Dept,Building Maintenance,Compensation - Stand By Pay,2000.0, 
General Fund,Administration Services Dept,Building Maintenance,Compensation - Overtime,-2219.2299999999996, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Sponsorships,0.0, 
General Fund,Planning & Development Dept,Planning Services Division,Charges for Services-CDBG/HOME,0.0, 
General Fund,Administration Services Dept,Building Maintenance,Compensation - Full Time Reg,113254.08000000002, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Licenses Taxes & Fees,108.0, 
General Fund,Finance Department,Risk Management Division,Insurance & Bonds,-750.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rents - Rental Income,410.0, 
General Fund,Finance Department,Finance Administration,Bad Debts,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Class Participation Fees,1781.67, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Overtime,-7.64, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Temp/Seasonal,-306.7300000000032, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Full Time Reg,3102.9600000000064, 
General Fund,Public Works Department,Public Works Administration,Water and Sewer,8573.68, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,9023.3, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Sales Tax-Non Refundable,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Mileage Reimbursement,1245.05, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),5929.65, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Licenses Taxes & Fees,10428.09, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,8070.93, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Restrictd Intergv County Parti,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fleet Fuel Charges,-1343.2600000000002, 
General Fund,Police Department,Police Support Division,Other Miscellaneous Revenue,-601.02, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Training,-2793.23, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fleet Maintenance Charges,-1700.42, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Motor Pool Charges,0.0, 
General Fund,Police Department,Patrol Division,Supplies - Other,16949.47, 
General Fund,Transportation Department,Traffic Engineering Division,Compensation - Stand By Pay,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Compensation - Full Time Reg,-16026.759999999995, 
General Fund,Transportation Department,Traffic Engineering Division,Compensation - Overtime,2174.4, 
General Fund,Police Department,Patrol Division,Supplies - Safety Equipment,-8851.980000000003, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,0.0, 
General Fund,Police Department,Patrol Division,Supplies - Uniforms,-11719.61, 
General Fund,Police Department,Patrol Division,Supplies - Books/Audio Visual,-704.19, 
General Fund,Public Works Department,Public Works Administration,Electricity,-2026.199999999997, 
General Fund,Non-Departmental Department,Non-Divisional,Materials,500.0, 
General Fund,Public Works Department,Public Works Administration,Cellular Usage,2063.54, 
General Fund,Public Works Department,Public Works Administration,Radio Charges,0.0, 
General Fund,Public Works Department,Public Works Administration,Long Distance,100.0, 
General Fund,Public Works Department,Public Works Administration,Telephone,-401.0799999999999, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mileage Reimbursement,200.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fines & Fees Interest - Late C,0.0, 
General Fund,Finance Department,Accounting Division,Local Util Fran Tax-CPL,-1578.9899999999907, 
General Fund,Finance Department,Accounting Division,Local Util Fran Fee-Cable,0.0, 
General Fund,Finance Department,Accounting Division,Local Util Fran Fee-Gas,-5297.459999999999, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Licenses Taxes & Fees,75.0, 
General Fund,Finance Department,Accounting Division,Local Util Fran Fee-Cable,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Oper Transfers CDBG Fund,-15062.41, 
General Fund,Planning & Development Dept,Community Development Division,Mach & Equipment,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Services - Advertising,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Motor Pool Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fleet Maintenance Charges,-941.3500000000004, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fleet Fuel Charges,-1029.9099999999999, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Rental/Lease,19441.34, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Professional Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,-2102.0699999999997, 
General Fund,Public Works Department,Public Works Administration,Water,0.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Fines & Fees Interest - Late C,1.03, 
General Fund,Planning & Development Dept,Community Development Division,Other Costs,0.0, 
General Fund,Public Works Department,Public Works Administration,Sewer,0.0, 
General Fund,Public Works Department,Public Works Administration,Natural Gas,5708.99, 
General Fund,Transportation Department,Traffic Engineering Division,Construction,0.0, 
General Fund,Transportation Department,Transportation Admin Div,Supplies - Uniforms,212.3, 
General Fund,Transportation Department,Transportation Admin Div,Supplies - Safety Equipment,50.0, 
General Fund,Transportation Department,Transportation Admin Div,Supplies - Books/Audio Visual,523.0, 
General Fund,Transportation Department,Transportation Admin Div,Services - Postage,130.2, 
General Fund,Transportation Department,Transportation Admin Div,Supplies - Other,163.80999999999995, 
General Fund,Finance Department,Budget Division,Dues & Subscriptions,-129.9000000000001, 
General Fund,Finance Department,Budget Division,Training,806.21, 
General Fund,Non-Departmental Department,Employee Health Contributions,Employee Cont Life Insurance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Child Care Fees,684.77, 
General Fund,Non-Departmental Department,Employee Health Contributions,Employee Cont Dental Insurance,0.0, 
General Fund,Information Technology Dept.,Information Services,Group Insurance Expense,0.0, 
General Fund,Non-Departmental Department,Employee Health Contributions,Retiree Contribution Insurance,-438.96, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Fines & Fees Firelane,-10859.21, 
General Fund,Non-Departmental Department,Employee Health Contributions,COBRA,1296.6, 
General Fund,Information Technology Dept.,Information Services,Vehicle Allowance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Sales Tax-Non Refundable,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Licenses Taxes & Fees,0.0, 
General Fund,Non-Departmental Department,Employee Health Contributions,Employee Cont Health Insurance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Mileage Reimbursement,0.0, 
